K = Z3(a) = Z3[x] / x^2 + 2*x + 2
p=3; n=9; d=2*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + 1>; f=x^9 + 9*x^3 + 18*x^2 + 3; Aut=2T1; Gal=9T15
p=3; n=9; d=2*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + 1>; f=x^9 + 9*a*x^3 + 18*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=2*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + 1>; f=x^9 + (9*a + 9)*x^3 + 18*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=2*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + 1>; f=x^9 + (18*a + 9)*x^3 + 18*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=2*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + 1>; f=x^9 + 18*x^3 + 18*x^2 + 3; Aut=2T1; Gal=9T15
p=3; n=9; d=2*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + 1>; f=x^9 + 18*a*x^3 + 18*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=2*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + 1>; f=x^9 + (18*a + 18)*x^3 + 18*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=2*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + 1>; f=x^9 + (9*a + 18)*x^3 + 18*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=2*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + 1>; f=x^9 + 18*x^2 + 3; Aut=2T1; Gal=9T15
p=3; n=9; d=w^5*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w>; f=x^9 + 9*x^3 + 18*a*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^5*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w>; f=x^9 + 9*a*x^3 + 18*a*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^5*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w>; f=x^9 + (9*a + 9)*x^3 + 18*a*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^5*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w>; f=x^9 + (18*a + 9)*x^3 + 18*a*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^5*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w>; f=x^9 + 18*x^3 + 18*a*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^5*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w>; f=x^9 + 18*a*x^3 + 18*a*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^5*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w>; f=x^9 + (18*a + 18)*x^3 + 18*a*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^5*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w>; f=x^9 + (9*a + 18)*x^3 + 18*a*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^5*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w>; f=x^9 + 18*a*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^6*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^2>; f=x^9 + 9*x^3 + (18*a + 18)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^6*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^2>; f=x^9 + 9*a*x^3 + (18*a + 18)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^6*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^2>; f=x^9 + (9*a + 9)*x^3 + (18*a + 18)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^6*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^2>; f=x^9 + (18*a + 9)*x^3 + (18*a + 18)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^6*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^2>; f=x^9 + 18*x^3 + (18*a + 18)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^6*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^2>; f=x^9 + 18*a*x^3 + (18*a + 18)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^6*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^2>; f=x^9 + (18*a + 18)*x^3 + (18*a + 18)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^6*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^2>; f=x^9 + (9*a + 18)*x^3 + (18*a + 18)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^6*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^2>; f=x^9 + (18*a + 18)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^7*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^3>; f=x^9 + 9*x^3 + (9*a + 18)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^7*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^3>; f=x^9 + 9*a*x^3 + (9*a + 18)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^7*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^3>; f=x^9 + (9*a + 9)*x^3 + (9*a + 18)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^7*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^3>; f=x^9 + (18*a + 9)*x^3 + (9*a + 18)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^7*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^3>; f=x^9 + 18*x^3 + (9*a + 18)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^7*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^3>; f=x^9 + 18*a*x^3 + (9*a + 18)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^7*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^3>; f=x^9 + (18*a + 18)*x^3 + (9*a + 18)*x^2 + 3; Aut=1T1; Gal=9T15
